feature_id,facility_name_ar,facility_type,primary_candidate_image_id,manual_review_completed,visual_match_status,primary_suitability,reviewer_decision,shared_conflict_status,rights_status,institutional_approval_status,next_action
LY-HOT-000067,فندق الصولجان,hotel,IMG-506CFAE19599447E,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000068,فندق العاصمة,hotel,IMG-2754AC0FDB2BC23D,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000071,فندق القوس,hotel,IMG-8F2297D7FBB16C96,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000072,فندق الكبير,hotel,IMG-0FA01A3B05B019A0,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000074,فندق الماسة,hotel,IMG-5F1F8C35419379DF,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000075,فندق المتوسط,hotel,IMG-4F0A3CE02FA1B883,false,cannot_determine,cannot_determine,defer,unresolved,unknown,false,needs_shared_conflict_resolution
LY-HOT-000077,فندق المشكاة,hotel,IMG-31E0CFFABE88906C,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000078,فندق المنامة,hotel,IMG-F83777E607F937D9,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000079,فندق النخلة,hotel,IMG-280C1B178E8D3CFF,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000080,فندق النقازة الخمس,resort,IMG-03FE1BFC24DF7657,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000081,فندق النهر,hostel,IMG-00DF5A97DE0DCF00,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000084,فندق الواحات,hotel,IMG-612CCDBF36460E46,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000085,فندق الياسمين,hotel,IMG-477F3B49EC08BB94,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000086,فندق أجنحة قرطاج,hotel,IMG-F7EC6271B650752B,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000088,فندق بنت السيد,hotel,IMG-599C8099E31AA502,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000090,فندق بيت الأمان,hostel,IMG-51AB10EF4C188BE1,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000091,فندق بيت الشرق,hostel,IMG-EF3B1425ACE980F9,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000093,لانكاستر برج الحياة ( ماريوت سابقا),hotel,IMG-CB4676B3E9A8B840,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000094,فندق دار غدامس,hostel,IMG-7AC07FEBBAB341ED,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000095,فندق ديار الهناء,hotel,IMG-92E4F00620C05EFB,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000096,فندق ليبوس,hotel,IMG-F9F53CED1C50A8BD,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000097,فندق ريكسوس,hotel,IMG-0D74F9F296DF86DD,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000098,فندق زليتن,hotel,IMG-C8F2AC0814DA6F5B,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000099,فندق زميت,hotel,IMG-9F297B4C0B40C957,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
