feature_id,layer_id,name_ar,candidate_images,manually_reviewed_images,verified_correct_images,public_rights_images,approved_primary_images,approved_gallery_images,rights_unknown_images,deferred_images,rejected_images,coverage_status
WH-LY-005-C0019,world-heritage,مسجد سيدي عمران,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-005-C0020,world-heritage,مقبرة سيدي البدري,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-005-C0021,world-heritage,فندق باب الفتح,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-005-C0022,world-heritage,قرية تونين,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-005-C0023,world-heritage,فندق بن يدر,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-005-C0024,world-heritage,مسجد الظهرة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-005-C0025,world-heritage,الحوش الغدامسي,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-005-C0026,world-heritage,فندق عين الفرس,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-005-C0027,world-heritage,المقبرة الغربية,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-005-C0028,world-heritage,مسجد حي السلام,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0001,world-heritage,مسرح لبدة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0002,world-heritage,Basilica of Severus,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0003,world-heritage,"Leptis Magna, Hunting Baths",0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0004,world-heritage,Curia,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0005,world-heritage,زايد السياحي,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0006,world-heritage,"Leptis Magna, Temple to unknown divinity on the Decumanus",0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0007,world-heritage,Hercules Temple,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0008,world-heritage,Old Basilica,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0009,world-heritage,Arch of Septimius Severus,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0010,world-heritage,كافي الجرة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0011,world-heritage,Arch of Marcus Aurelius,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0012,world-heritage,Roma & Augustus temple,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0013,world-heritage,Liber Pater temple,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0014,world-heritage,Old Forum Church,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0015,world-heritage,فندق التلال الوسيطة..,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0016,world-heritage,أثار جنوب قورينا,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0017,world-heritage,وادي بومليو,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0018,world-heritage,عين الحفرة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0019,world-heritage,عقر بوالنعاس,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0020,world-heritage,مخطط بومليحة السياحي,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0021,world-heritage,هوا بوثن,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0022,world-heritage,مطل القلعة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0023,world-heritage,المناقير,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0024,world-heritage,كاف الخروبة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0025,world-heritage,كهف عبدالله بوخطاب,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0026,world-heritage,هواء هيتيني,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0027,world-heritage,النصب التذكاري لموسوليني,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0028,world-heritage,منتجع بقراوة للالعاب والسياحية,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0029,world-heritage,العويلية,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0030,world-heritage,وادي الحميرة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0031,world-heritage,قصر بوغسال,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0032,world-heritage,متحف فسيفساء قصر ليبيا,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0033,world-heritage,زاوية العرقوب,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0034,world-heritage,قصر المقدم,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0035,world-heritage,كهف العودة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0036,world-heritage,كهف الخزعلية,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0037,world-heritage,مسجد انس بن مالك - باندس,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0038,world-heritage,وادي ابطين الغزال,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0039,world-heritage,كاف طماش,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0040,world-heritage,كاف مسته,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0041,world-heritage,شط الرملة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0042,world-heritage,قرية التلال السياحية الحمامة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0043,world-heritage,منتجع ومصيف الحمامة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0044,world-heritage,احواض السكميتو- القلعة الغارقة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0045,world-heritage,.برك نوطا,0,0,0,0,0,0,0,0,0,no_verified_images
WH-TEAM-0046,world-heritage,كهف هوا فطيح.,0,0,0,0,0,0,0,0,0,no_verified_images
