feature_id,layer_id,name_ar,name_en,city_ar,municipality_ar,heritage_status,unesco_component,geometry_type,publication_status,current_local_image_count,current_remote_image_count,current_primary_image,review_priority,notes
LY-AKA-000048,akakus,وادي أنشال,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000049,akakus,تين لالان,,غات,,,,Point,,1,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000050,akakus,وادي ارلالان,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000051,akakus,وادي تيهت,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000052,akakus,وادي كيسان,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000053,akakus,وادي أنجاكور,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000054,akakus,وان جارين,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000055,akakus,وادي تين طرة,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000056,akakus,وادي قرقور,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000057,akakus,وادي غلاشم,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000058,akakus,وادي ايسين,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000059,akakus,وادي ايضر,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000060,akakus,تين الكوم,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000061,akakus,وادي تاجنرؤوت,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000062,akakus,وادي سلفوفيت,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000063,akakus,وادي تكظالت,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000064,akakus,جبل تين بب,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000065,akakus,تنسو,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000066,akakus,جبل ايدينان - كاف الجنون,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000067,akakus,قارة تزول,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000068,akakus,رمال تيتغسين أو صحراء تهاريت,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000069,akakus,أغرم نودان,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000070,akakus,وادي ميغدت,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000071,akakus,جبل مفتغت,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000072,akakus,ميغدت,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000073,akakus,وان تكوفي,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000074,akakus,الغابة المتحجرة,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000075,akakus,مساك مللت,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000076,akakus,طريق يفضي إلى برجوج,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000077,akakus,وادي لانجوسي,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000078,akakus,وادي اشناتين,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000079,akakus,وادي اميتالي,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000080,akakus,تنسو,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000081,akakus,بئر وادي الخير,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000082,akakus,بئر تللوات,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000083,akakus,بئر أباناكور,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000084,akakus,بئر امينينغ,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000085,akakus,قلتة تين تراريت,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000086,akakus,قلتة ايوانين,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
