review_id,image_id,master_image_id,source_relative_path,feature_id,layer_id,feature_name_ar,visual_match_status,destination_identity_status,reviewer_decision,verified_role,technical_quality,duplicate_decision,rights_status,publication_permission,attribution_required,source_credit,rights_evidence,reviewer_name,review_date,decision_confidence,manual_review_completed,notes
B1-DEC-B1IMG-000045,IMG-7B82F05348DEFDD5,IMG-7B82F05348DEFDD5,assets/images/akakus/akakus-LY-AKAKUS-00028-01.png,LY-AKA-000028,akakus,وادي تين قويما,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000046,IMG-A804CB0C1113807F,IMG-7B82F05348DEFDD5,assets/images/akakus/akakus-LY-AKAKUS-00028-01.webp,LY-AKA-000028,akakus,وادي تين قويما,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000047,IMG-5FDD5A2FFBF59DBF,IMG-5FDD5A2FFBF59DBF,assets/images/akakus/akakus-LY-AKAKUS-00028-02.png,LY-AKA-000028,akakus,وادي تين قويما,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000048,IMG-43E5D7C28F80D864,IMG-5FDD5A2FFBF59DBF,assets/images/akakus/akakus-LY-AKAKUS-00028-02.webp,LY-AKA-000028,akakus,وادي تين قويما,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000049,IMG-AC89DDC21CE84AE0,IMG-AC89DDC21CE84AE0,assets/images/akakus/akakus-LY-AKAKUS-00029-01.png,LY-AKA-000029,akakus,وادي أويس,verified_correct,specific_component_confirmed,approve_public,primary,acceptable,approved_master,institutional_publication_approval,public,true,مركز المعلومات والتوثيق السياحي,docs/images/batch-1/batch-1-institutional-approval.csv,م. أسامة فرج الخبولي,2026-08-07,high,true,Institutional approval imported; technical and destination checks passed.
B1-DEC-B1IMG-000050,IMG-D52E10EE98F1156C,IMG-AC89DDC21CE84AE0,assets/images/akakus/akakus-LY-AKAKUS-00029-01.webp,LY-AKA-000029,akakus,وادي أويس,cannot_determine,cannot_determine,defer,,acceptable,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000051,IMG-3A5DE817DBAE2AD4,IMG-3A5DE817DBAE2AD4,assets/images/akakus/akakus-LY-AKAKUS-00030-01.png,LY-AKA-000030,akakus,وادي أفاغ,verified_correct,specific_component_confirmed,approve_public,primary,high,approved_master,institutional_publication_approval,public,true,مركز المعلومات والتوثيق السياحي,docs/images/batch-1/batch-1-institutional-approval.csv,م. أسامة فرج الخبولي,2026-08-07,high,true,Institutional approval imported; technical and destination checks passed.
B1-DEC-B1IMG-000052,IMG-535DA87DC202F119,IMG-3A5DE817DBAE2AD4,assets/images/akakus/akakus-LY-AKAKUS-00030-01.webp,LY-AKA-000030,akakus,وادي أفاغ,cannot_determine,cannot_determine,defer,,high,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000053,IMG-B7FA7495843EC68C,IMG-B7FA7495843EC68C,assets/images/akakus/akakus-LY-AKAKUS-00031-01.png,LY-AKA-000031,akakus,وادي تاشوينات,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
B1-DEC-B1IMG-000054,IMG-5EA11A80C94E682F,IMG-B7FA7495843EC68C,assets/images/akakus/akakus-LY-AKAKUS-00031-01.webp,LY-AKA-000031,akakus,وادي تاشوينات,cannot_determine,cannot_determine,defer,,thumbnail_only,deferred_uncertain_duplicate,unknown,requires_review,,,,,,,false,Not approved automatically.
