feature_id,image_id,gallery_order,gallery_role,master_image_id,visual_match_status,rights_status,publication_permission,manual_review_completed,notes
LY-TRI-000101,IMG-8D3346A3D8B025A2,1,primary,IMG-8D3346A3D8B025A2,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000102,IMG-27D23CDF7CAD565E,1,primary,IMG-27D23CDF7CAD565E,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000103,IMG-0B0BAD440877AE8D,1,primary,IMG-0B0BAD440877AE8D,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000105,IMG-75124E0C3746CE7B,1,primary,IMG-75124E0C3746CE7B,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000106,IMG-1D4E50966FFE4716,1,primary,IMG-1D4E50966FFE4716,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000108,IMG-22FE81AC5913EA1B,1,primary,IMG-22FE81AC5913EA1B,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000114,IMG-82FFA2EB6C92341C,1,primary,IMG-82FFA2EB6C92341C,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000115,IMG-D00AC0B9FAAFC9DB,1,primary,IMG-D00AC0B9FAAFC9DB,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000116,IMG-F8BB3CFA74697A1A,1,primary,IMG-F8BB3CFA74697A1A,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000118,IMG-A137631F1888A7E7,1,primary,IMG-A137631F1888A7E7,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000122,IMG-AF6CCCFE878CF202,1,primary,IMG-AF6CCCFE878CF202,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000123,IMG-B228F8B555664904,1,primary,IMG-B228F8B555664904,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000126,IMG-DF4A3DD398AE2330,1,primary,IMG-DF4A3DD398AE2330,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000128,IMG-60A1D2961C0FAA26,1,primary,IMG-60A1D2961C0FAA26,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000129,IMG-3CAC86A1C4B6CD4F,1,primary,IMG-3CAC86A1C4B6CD4F,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000132,IMG-1255666E623D3F1F,1,primary,IMG-1255666E623D3F1F,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
LY-TRI-000134,IMG-659B350A4BD8EBB2,1,primary,IMG-659B350A4BD8EBB2,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
WH-WORLD-C0002,IMG-78BA295438D199F4,1,primary,IMG-78BA295438D199F4,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
WH-MAIN-001,IMG-D5179154990536A1,1,primary,IMG-D5179154990536A1,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
WH-WORLD-C0001,IMG-EB3970495DD0618E,1,primary,IMG-EB3970495DD0618E,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
WH-LY-001-0001,IMG-02D99FA57565D0E7,1,primary,,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
WH-LY-001-0002,IMG-6EC30511C574D4E7,1,primary,,verified_correct,institutional_publication_approval,public,true,Institutionally approved.
