feature_id,layer_id,feature_name_ar,primary_image_id,master_image_id,source_relative_path,visual_match_status,technical_quality,rights_status,publication_permission,selection_score,selection_reason,decision_status,manual_review_completed,reviewer_name,review_date,notes
WH-LY-004-C0012,world-heritage,مسجد العتيق,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0013,world-heritage,مطار غات الدولي,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0014,world-heritage,المجلس البلدي غات,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0015,world-heritage,النصب التذكاري لمعركة ايسين,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0016,world-heritage,قوس تنخليقة,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0017,world-heritage,القرية الجرمنتية تان افلا,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0018,world-heritage,فندق المهاري,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0019,world-heritage,منتجع وانتميضي البركت,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0020,world-heritage,المسجد الكبير,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0021,world-heritage,قلعة غات(كوكمن),,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0022,world-heritage,جبال أكاكوس,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0023,world-heritage,اغرم نظاريف,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0024,world-heritage,المدينة القديمة البركت ( اغرم ),,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0025,world-heritage,قلعة ''سردليس''العوينات,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0026,world-heritage,وادي تشوينات,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0027,world-heritage,Wadi Teshuinat,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0028,world-heritage,وادي تاكاركوري,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0029,world-heritage,اوان اميل,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0030,world-heritage,اوان موهوجياج,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0031,world-heritage,منطقة الرسوم الصخرية,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0032,world-heritage,منطقة الاقواس والتكوينات الصخرية,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0033,world-heritage,جبال اكوكاس,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0034,world-heritage,جبال تادرارت أكوكاس,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0035,world-heritage,وادي آويس,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0036,world-heritage,قوس تنسو,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0037,world-heritage,وادي تاهرمت,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0038,world-heritage,تانسو,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-004-C0039,world-heritage,وادي تنسو,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
