relationship_id,record_a_id,record_a_layer,record_a_name,record_b_id,record_b_layer,record_b_name,relationship_type,shared_image_allowed,primary_image_sharing_allowed,gallery_image_sharing_allowed,confidence,manual_review_required,notes
B1REL-00044,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0043,world-heritage,مطعم الجرة,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00045,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-MAIN-001-C0044,world-heritage,قوس ماركوس أوروليوس,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00046,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0044,world-heritage,حمامات هادريان,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00047,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0045,world-heritage,الساحة السيفيرية,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00048,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0046,world-heritage,البوابة البيزنطية,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00049,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0047,world-heritage,باسيلقا سيفيروس,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00050,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0048,world-heritage,السوق الرومانية,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00051,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0049,world-heritage,Christian church,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00052,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0002,world-heritage,المسرح الروماني الخمس _ ليبيا,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00053,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-LY-001-0050,world-heritage,ميدان السباق,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00054,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-TEAM-0001,world-heritage,مسرح لبدة,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00055,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-TEAM-0002,world-heritage,Basilica of Severus,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00056,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-TEAM-0003,world-heritage,"Leptis Magna, Hunting Baths",parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00057,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-TEAM-0004,world-heritage,Curia,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00058,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-TEAM-0005,world-heritage,زايد السياحي,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00059,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-TEAM-0006,world-heritage,"Leptis Magna, Temple to unknown divinity on the Decumanus",parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00060,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-TEAM-0007,world-heritage,Hercules Temple,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00061,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-TEAM-0008,world-heritage,Old Basilica,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00062,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-TEAM-0009,world-heritage,Arch of Septimius Severus,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00063,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-TEAM-0010,world-heritage,كافي الجرة,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00064,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-TEAM-0011,world-heritage,Arch of Marcus Aurelius,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00065,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-TEAM-0012,world-heritage,Roma & Augustus temple,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00066,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-TEAM-0013,world-heritage,Liber Pater temple,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
B1REL-00067,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,WH-TEAM-0014,world-heritage,Old Forum Church,parent_site_component,context_only,false,manual_decision_required,high,true,No automatic primary sharing.
