image_id,source_relative_path,master_image_id,layer_id,feature_id,feature_name_ar,feature_name_en,linkage_basis,layer_assignment_status,feature_linkage_status,primary_image,gallery_image,institutional_display_authorization,rights_status,derivative_status,runtime_status,notes
IMG-320AB692B3A21257,assets/media/LIBYA/heritage/cyrene/published/features/fountain-of-apollo/fountain-of-apollo-001.jpg,,world-heritage,WH-LY-003-C0016,نبع أبولو,Fountain of Apollo,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-00E75101D03A7E2C,assets/media/LIBYA/heritage/cyrene/published/features/cyrene-temple-of-zeus-001.jpeg,,world-heritage,WH-LY-003-C0021,معبد زيوس في قورينا,,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-E6E9C6B12F4AE70A,assets/media/LIBYA/heritage/cyrene/published/features/greek-agora/greek-agora-001.jpg,,world-heritage,WH-LY-003-C0022,السوق اليوناني القديم اغورا,,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-FA3D8BD0057F5C41,assets/media/LIBYA/heritage/cyrene/published/features/greek-agora/greek-agora-002.jpg,,world-heritage,WH-LY-003-C0022,السوق اليوناني القديم اغورا,,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-C5A90AA910CC69B3,assets/media/LIBYA/heritage/cyrene/published/features/greek-agora/greek-agora-003.jpg,,world-heritage,WH-LY-003-C0022,السوق اليوناني القديم اغورا,,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-53AA66C4BCA1DE3C,assets/media/LIBYA/heritage/cyrene/published/features/greek-agora/greek-agora-004.jpg,,world-heritage,WH-LY-003-C0022,السوق اليوناني القديم اغورا,,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-05A9B3C320BE8699,assets/media/LIBYA/heritage/cyrene/published/features/greek-agora/greek-agora-005.jpg,,world-heritage,WH-LY-003-C0022,السوق اليوناني القديم اغورا,,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-C62AD98B961E92DD,assets/media/LIBYA/heritage/cyrene/published/features/byzantine-basilica/byzantine-basilica-001.jpg,,world-heritage,WH-LY-003-C0023,Byzantine basilica,,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-B303C4EC51462E0F,assets/media/LIBYA/heritage/cyrene/published/features/byzantine-basilica/byzantine-basilica-002.jpg,,world-heritage,WH-LY-003-C0023,Byzantine basilica,,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-DE2CB531BDED4541,assets/media/LIBYA/heritage/cyrene/published/features/byzantine-basilica/byzantine-basilica-003.jpg,,world-heritage,WH-LY-003-C0023,Byzantine basilica,,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-F9DE799C64ED01CC,assets/media/LIBYA/heritage/cyrene/published/features/byzantine-basilica/byzantine-basilica-004.jpg,,world-heritage,WH-LY-003-C0023,Byzantine basilica,,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-7BE08BC944BEA30F,assets/media/LIBYA/heritage/cyrene/published/features/byzantine-basilica/byzantine-basilica-005.jpg,,world-heritage,WH-LY-003-C0023,Byzantine basilica,,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-6A032F2623C04BAE,assets/media/LIBYA/heritage/ghadames/published/ain-al-faras/ghadames-ain-al-faras-001.jpg,,world-heritage,WH-LY-005-C0004,عين الفرس,euyin alfurs,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-99FC39B6A5C8C2EE,assets/images/hotels/hotels-LY-HOTELS-00001-05.webp,,hotels,LY-HOT-000001,فندق كورنثيا,Corinthia Tripoli,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-A5947377886253B2,assets/images/hotels/hotels-LY-HOTELS-00002-02.webp,,hotels,LY-HOT-000002,فندق بينثابوليس,PentaPolis Hotel,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-4144D4E4C1CD4C73,assets/images/hotels/hotels-LY-HOTELS-00002-03.webp,,hotels,LY-HOT-000002,فندق بينثابوليس,PentaPolis Hotel,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-5BC5BAAA9F9E9F12,assets/images/hotels/hotels-LY-HOTELS-00002-04.webp,,hotels,LY-HOT-000002,فندق بينثابوليس,PentaPolis Hotel,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
