feature_id,name_ar,facility_type,city_ar,candidate_images,current_images,master_candidates,high_quality_candidates,acceptable_candidates,ambiguous_candidates,rights_known,rights_unknown,primary_candidate,gallery_candidates,manual_review_required,coverage_status
LY-HOT-000076,فندق المدينة,hotel,,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000077,فندق المشكاة,hotel,شارع عمرو بن العاص,3,3,3,0,0,0,0,3,IMG-31E0CFFABE88906C,3,true,strong_candidate_coverage
LY-HOT-000078,فندق المنامة,hotel,فندق محلي يقع في قلب العاصمة الليبية طرابلس السويحلي,3,3,3,0,0,0,0,3,IMG-F83777E607F937D9,3,true,strong_candidate_coverage
LY-HOT-000079,فندق النخلة,hotel,,5,5,5,0,0,0,0,5,IMG-280C1B178E8D3CFF,5,true,strong_candidate_coverage
LY-HOT-000080,فندق النقازة الخمس,resort,طريق النهر، الخمس، ليبيا,5,5,5,0,0,0,0,5,IMG-03FE1BFC24DF7657,5,true,strong_candidate_coverage
LY-HOT-000081,فندق النهر,hostel,العنوان: طرابلس، شارع طارق بن زياد (الموازي لشارع المعري)، بالقرب من مسجد بورقيبة,3,3,3,0,0,0,0,3,IMG-00DF5A97DE0DCF00,3,true,strong_candidate_coverage
LY-HOT-000082,فندق الهنشيري,hotel,,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000083,فندق الهيشة,hotel,,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000084,فندق الواحات,hotel,,1,1,1,0,0,0,0,1,IMG-612CCDBF36460E46,1,true,strong_candidate_coverage
LY-HOT-000085,فندق الياسمين,hotel,,3,3,3,0,0,0,0,3,IMG-477F3B49EC08BB94,3,true,strong_candidate_coverage
LY-HOT-000086,فندق أجنحة قرطاج,hotel,,5,5,5,0,0,0,0,5,IMG-F7EC6271B650752B,5,true,strong_candidate_coverage
LY-HOT-000087,فندق أفريقيا,hotel,,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000088,فندق بنت السيد,hotel,يقع الفندق في أول شارع سيدي يعقوب، تحديداً عند ناصية وسعاية مخزن الرخام داخل أسوار المدينة القديمة,1,1,1,0,1,0,0,1,IMG-599C8099E31AA502,1,true,strong_candidate_coverage
LY-HOT-000089,فندق بودلغوسة,hotel,يقع الفندق في محلة المدينة القديمة، تحديداً عند طريق الحِلقة (أو زنقة جامع الدروج,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000090,فندق بيت الأمان,hostel,منطقة الظهرة، طرابلس، ليبيا,4,4,4,0,0,0,0,4,IMG-51AB10EF4C188BE1,4,true,strong_candidate_coverage
LY-HOT-000091,فندق بيت الشرق,hostel,يقع الفندق في شارع الرازي، وتحديداً خلف شارع الكندي في مدينة طرابلس,3,3,3,2,1,0,0,3,IMG-EF3B1425ACE980F9,3,true,strong_candidate_coverage
LY-HOT-000092,فندق تابكت,hotel,,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000093,لانكاستر برج الحياة ( ماريوت سابقا),hotel,طرابلس امام مصيف flyboard سابقا,5,5,5,0,0,0,0,5,IMG-CB4676B3E9A8B840,5,true,strong_candidate_coverage
LY-HOT-000094,فندق دار غدامس,hostel,يقع بالقرب من المدينة القديمة,5,5,5,0,0,0,0,5,IMG-7AC07FEBBAB341ED,5,true,strong_candidate_coverage
LY-HOT-000095,فندق ديار الهناء,hotel,,4,4,4,0,0,0,0,4,IMG-92E4F00620C05EFB,4,true,strong_candidate_coverage
LY-HOT-000096,فندق ليبوس,hotel,,3,3,3,0,0,0,0,3,IMG-F9F53CED1C50A8BD,3,true,strong_candidate_coverage
LY-HOT-000097,فندق ريكسوس,hotel,,5,5,5,0,0,0,0,5,IMG-0D74F9F296DF86DD,5,true,strong_candidate_coverage
LY-HOT-000098,فندق زليتن,hotel,,3,3,3,0,0,0,0,3,IMG-C8F2AC0814DA6F5B,3,true,strong_candidate_coverage
LY-HOT-000099,فندق زميت,hotel,,10,10,10,0,0,0,0,10,IMG-9F297B4C0B40C957,10,true,strong_candidate_coverage
LY-HOT-000100,فندق زوارة,hotel,,4,4,4,0,0,0,0,4,IMG-50C88BA946BC9961,4,true,strong_candidate_coverage
LY-HOT-000101,فندق سرايا الليبو,hotel,,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000102,فندق سفاري,hotel,,5,5,5,0,0,0,0,5,IMG-055271F1382E9D5A,5,true,strong_candidate_coverage
LY-HOT-000103,فندق سفاري 2,hotel,,3,3,3,0,0,0,0,3,IMG-5FD7D29019D53E4A,3,true,strong_candidate_coverage
LY-HOT-000104,فندق شروق افريقيا,hotel,,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000105,فندق ضيافة ونيس,hotel,,6,6,6,0,0,0,0,6,IMG-9D9788DF5F512236,6,true,strong_candidate_coverage
LY-HOT-000106,فندق طرابلس الدولي,hotel,,6,6,6,0,0,0,0,6,IMG-473D64CC0B4F095E,6,true,strong_candidate_coverage
LY-HOT-000107,فندق طليطلة,hotel,,4,4,4,0,0,0,0,4,IMG-6580CB7EB805DFF0,4,true,strong_candidate_coverage
LY-HOT-000108,فندق طيبة,hotel,الموقع: يقع وسط العاصمة طرابلس، وتحديداً في ميدان السويحلي - خلف شارع الرازي (شارع الكندي),3,3,3,0,0,0,0,3,IMG-60AE2A53516D38B5,3,true,strong_candidate_coverage
LY-HOT-000109,فندق عمير,hostel,يقع الفندق في شارع الكندي، طرابلس، ليبيا,3,3,3,0,0,0,0,3,IMG-14E7A433C1AA23C9,3,true,strong_candidate_coverage
LY-HOT-000110,فندق عين الفرس,hotel,,2,2,2,0,0,0,0,2,IMG-DA0ECA578123941F,2,true,strong_candidate_coverage
LY-HOT-000111,فندق غابة الكشافة,hotel,,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000112,فندق غريان السياحي,hotel,,5,5,5,0,0,0,0,5,IMG-6BCB30EA9DC9D585,5,true,strong_candidate_coverage
LY-HOT-000113,فندق قرطاج,hotel,,5,5,5,0,0,0,0,5,IMG-046EDC55FFD15293,5,true,strong_candidate_coverage
LY-HOT-000114,فندق قصر الظهرة,hotel,,6,6,6,0,0,0,0,6,IMG-9177C7EFBB2B6B7C,6,true,strong_candidate_coverage
LY-HOT-000115,فندق قصر الفيروز,hotel,,5,5,5,0,0,0,0,5,IMG-110FEF464D2C395F,5,true,strong_candidate_coverage
LY-HOT-000116,فندق قمر صبراتة,hotel,,1,1,1,0,0,0,0,1,IMG-418C257283B4249C,1,true,strong_candidate_coverage
LY-HOT-000117,فندق كونتنتال,hotel,,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000118,فندق لبدة السياحي الخمس,hotel,يقع الفندق في مدينة الخمس بليبيا، بالقرب من مدخل مدينة لبدة الأثرية,9,9,9,0,0,0,0,9,IMG-67129E3029742E03,9,true,strong_candidate_coverage
LY-HOT-000119,فندق ليالي قرطاج,hotel,,3,3,3,0,0,0,0,3,IMG-E6FB468A34553F69,3,true,strong_candidate_coverage
LY-HOT-000120,فندق ليبيا,hostel,قع في موقع حيوي يربط بين شارع المسعودي وشارع عمر المختار,6,6,6,0,0,0,0,6,IMG-E154B829B141A067,6,true,strong_candidate_coverage
LY-HOT-000121,فندق مادي الحسان,hotel,,4,4,4,0,0,0,0,4,IMG-433F949188978281,4,true,strong_candidate_coverage
LY-HOT-000122,فندق واستراحة جادو,hotel,,0,0,0,0,0,0,0,0,,0,false,no_images
