feature_id,layer_id,name_ar,review_priority,candidate_count,recommended_action,notes
LY-HOT-000278,hotels,فندق الشاطئ الذهبى,PRIORITY_A,4,manual_visual_review,
LY-HOT-000279,hotels,فندق الصافي,PRIORITY_A,1,manual_visual_review,
LY-HOT-000280,hotels,فندق بوابة أفريقيا,PRIORITY_C,0,no_local_candidate,
LY-HOT-000281,hotels,فندق الفصول الابعة 1,PRIORITY_A,1,manual_visual_review,
LY-HOT-000282,hotels,فندق سفارى,PRIORITY_A,1,manual_visual_review,
LY-HOT-000283,hotels,فندق زهرة الخليج,PRIORITY_A,2,manual_visual_review,
LY-HOT-000284,hotels,فندق السلاسل الذهبية,PRIORITY_A,3,manual_visual_review,
LY-HOT-000285,hotels,فندق النورس,PRIORITY_C,0,no_local_candidate,
LY-HOT-000286,hotels,فندق التوفيق 1,PRIORITY_C,0,no_local_candidate,
LY-HOT-000287,hotels,فندق اليسر,PRIORITY_C,0,no_local_candidate,
LY-HOT-000288,hotels,فندق الخيام العربية,PRIORITY_C,0,no_local_candidate,
LY-HOT-000289,hotels,فندق الرشيد,PRIORITY_C,0,no_local_candidate,
LY-HOT-000290,hotels,فندق أسامة,PRIORITY_C,0,no_local_candidate,
LY-HOT-000291,hotels,فندق الزيتونة,PRIORITY_C,0,no_local_candidate,
LY-HOT-000292,hotels,فندق ريباس,PRIORITY_C,0,no_local_candidate,
LY-HOT-000293,hotels,فندق طليطلة,PRIORITY_C,0,no_local_candidate,
LY-HOT-000294,hotels,فندق صبراتة,PRIORITY_C,0,no_local_candidate,
LY-HOT-000295,hotels,فندق تاج,PRIORITY_A,3,manual_visual_review,
LY-HOT-000296,hotels,فندق الكندي,PRIORITY_C,0,no_local_candidate,
LY-HOT-000297,hotels,فندق أضواء قرطاج,PRIORITY_A,3,manual_visual_review,
LY-HOT-000298,hotels,فندق البشير,PRIORITY_C,0,no_local_candidate,
LY-HOT-000299,hotels,فندق الهاني,PRIORITY_C,0,no_local_candidate,
LY-HOT-000300,hotels,فندق القنصل فندق القنصل,PRIORITY_C,0,no_local_candidate,
LY-HOT-000301,hotels,فندق الجبل الاخضر,PRIORITY_C,0,no_local_candidate,
LY-HOT-000302,hotels,الفتح,PRIORITY_C,0,no_local_candidate,
LY-HOT-000303,hotels,فندق قصر ليبيا,PRIORITY_C,0,no_local_candidate,
LY-HOT-000304,hotels,Hotel Haroun 2,PRIORITY_C,0,no_local_candidate,
LY-HOT-000305,hotels,فندق الغزالة,PRIORITY_A,1,manual_visual_review,
LY-HOT-000306,hotels,فندق كيان طرابلس,PRIORITY_C,0,no_local_candidate,
LY-HOT-000307,hotels,فندق الديوان,PRIORITY_A,3,manual_visual_review,
LY-HOT-000308,hotels,فندق نيو ستي New City hotel,PRIORITY_C,0,no_local_candidate,
LY-HOT-000309,hotels,فندق الدالي,PRIORITY_C,0,no_local_candidate,
LY-HOT-000310,hotels,زهرة الشمس,PRIORITY_C,0,no_local_candidate,
LY-HOT-000311,hotels,فندق ضيافة طرابلس,PRIORITY_C,0,no_local_candidate,
LY-HOT-000312,hotels,فندق الفتح شارع الرشيد,PRIORITY_C,0,no_local_candidate,
LY-HOT-000313,hotels,فندق بلخير,PRIORITY_C,0,no_local_candidate,
LY-HOT-000314,hotels,فندق السرايا,PRIORITY_A,4,manual_visual_review,
LY-HOT-000315,hotels,فندق الوحدة العربية,PRIORITY_C,0,no_local_candidate,
LY-HOT-000316,hotels,فندق الكنوز الذهبية,PRIORITY_C,0,no_local_candidate,
LY-HOT-000317,hotels,فندق الشراع,PRIORITY_C,0,no_local_candidate,
LY-HOT-000318,hotels,الحبايب,PRIORITY_A,2,manual_visual_review,
LY-HOT-000319,hotels,هوم بلازا_للشقق الفندقية,PRIORITY_A,1,manual_visual_review,
LY-HOT-000320,hotels,فندق الرحال,PRIORITY_A,1,manual_visual_review,
LY-HOT-000321,hotels,الوادي 2 للشقق الفندقية,PRIORITY_A,1,manual_visual_review,
LY-HOT-000322,hotels,الأطلس للشقق الفندقية,PRIORITY_A,2,manual_visual_review,
LY-HOT-000323,hotels,فندق بيزا السياحي,PRIORITY_A,4,manual_visual_review,
LY-HOT-000324,hotels,فندق قوز التيك,PRIORITY_A,2,manual_visual_review,
LY-HOT-000325,hotels,النجمة الذهبية لشقق الفندقية,PRIORITY_C,0,no_local_candidate,
LY-HOT-000326,hotels,الفخامه للشقق المفروشه,PRIORITY_C,0,no_local_candidate,
LY-HOT-000327,hotels,اوس لشقق المفروشه,PRIORITY_C,0,no_local_candidate,
LY-HOT-000328,hotels,فندق الساحل,PRIORITY_C,0,no_local_candidate,
LY-HOT-000329,hotels,الجوهرة للشقق الفندقية,PRIORITY_C,0,no_local_candidate,
LY-HOT-000330,hotels,فندق اجدابيا السياحي,PRIORITY_C,0,no_local_candidate,
LY-HOT-000331,hotels,فندق الراحة اجدابيا,PRIORITY_A,3,manual_visual_review,
LY-HOT-000332,hotels,عمار او المجد للشقق الفندقية,PRIORITY_A,3,manual_visual_review,
LY-HOT-000333,hotels,فندق مزايا اجدابيا,PRIORITY_A,3,manual_visual_review,
LY-HOT-000334,hotels,فندق التوجان السياحي,PRIORITY_A,3,manual_visual_review,
LY-HOT-000335,hotels,نزل وقاعة الهاشمي,PRIORITY_A,1,manual_visual_review,
LY-HOT-000336,hotels,نزل وقاعة زهرة الخليج,PRIORITY_A,3,manual_visual_review,
LY-HOT-000337,hotels,الهضبة للشقق الفندقية,PRIORITY_A,3,manual_visual_review,
LY-HOT-000338,hotels,الامان للشقق الفندقية,PRIORITY_A,2,manual_visual_review,
LY-HOT-000339,hotels,نزل ماريا MARIYA,PRIORITY_A,3,manual_visual_review,
LY-HOT-000340,hotels,فندق الرابطة,PRIORITY_A,1,manual_visual_review,
LY-HOT-000341,hotels,فندق سمر قند,PRIORITY_C,0,no_local_candidate,
LY-HOT-000342,hotels,فندق غريان السياحي,PRIORITY_A,3,manual_visual_review,
LY-HOT-000343,hotels,فندق روايال غريان,PRIORITY_A,4,manual_visual_review,
LY-HOT-000344,hotels,فندق حوش بوغنوش,PRIORITY_A,4,manual_visual_review,
LY-HOT-000345,hotels,فندق اللؤلؤة السياحي البضاء,PRIORITY_A,4,manual_visual_review,
