feature_id,image_id,gallery_order,gallery_role,master_image_id,visual_match_status,rights_status,publication_permission,manual_review_completed,notes
LY-HOT-000038,IMG-B8ECBD47AA06BB85,1,candidate,IMG-5603CC7610CA0D6D,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000038,IMG-0F3D0D13915C4CF1,1,candidate,IMG-2AE76E24C722CBD1,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000038,IMG-FE2E6844B80163F7,1,candidate,IMG-8F172B167244738A,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000038,IMG-F98636181696202D,1,candidate,IMG-1F67FF542C3B6CE7,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000039,IMG-95E3447DAE58A495,1,candidate,IMG-FF9B5C89FCA47753,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000039,IMG-0115399C8CA62B2E,1,candidate,IMG-DC13C90AC786D2BD,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000039,IMG-88AF2D458AD7B856,1,candidate,IMG-263754819F42FDC5,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000040,IMG-4C26C96431EC63BA,1,candidate,IMG-DBD02A9A43973386,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000040,IMG-12AC65AE048F4455,1,candidate,IMG-6C40890996F01981,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000040,IMG-CB720BA811B677A9,1,candidate,IMG-EC7BDD1FD4883F59,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000040,IMG-86BF7EE86F2F7271,1,candidate,IMG-DDAAC0A327FF0FB4,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000041,IMG-A3FECBDF161B5CCE,1,candidate,IMG-78A889EBB36B296C,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000041,IMG-D20C34E481E14F37,1,candidate,IMG-2700979FDC3B97F1,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000041,IMG-294700B912B12C08,1,candidate,IMG-0D6EBE640E4FBDBB,not_individually_verified,unknown,pending_institutional_approval,false,
