link_id,feature_id,layer_id,feature_name_ar,image_id,source_relative_path,current_role,file_exists,technical_quality,visual_match_status,duplicate_group_id,master_image_id,rights_status,publication_permission,verification_status,recommended_action,replacement_image_id,evidence,confidence,manual_review_required,notes
P2LINK-000157,LY-HOT-000060,hotels,فندق زوارة,IMG-529535B1FF6858C1,assets/images/hotels/hotels-LY-HOTELS-00060-01.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00599,IMG-1826FC3DA9B6FF0D,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000158,LY-HOT-000060,hotels,فندق زوارة,IMG-1A91F5CD618A2607,assets/images/hotels/hotels-LY-HOTELS-00060-02.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00013,IMG-90C08E273C288EFF,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000159,LY-HOT-000060,hotels,فندق زوارة,IMG-53504366C57AD739,assets/images/hotels/hotels-LY-HOTELS-00060-03.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00308,IMG-C6DBFD8926F28DC5,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000160,LY-HOT-000061,hotels,فندق السندباد,IMG-1FEA6DD92699F439,assets/images/hotels/hotels-LY-HOTELS-00061-01.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00206,IMG-D811C87C391D5766,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000161,LY-HOT-000062,hotels,فندق الشجرة,IMG-20030B09B95C21F0,assets/images/hotels/hotels-LY-HOTELS-00062-01.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00113,IMG-096DC0A326F5DF45,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000162,LY-HOT-000062,hotels,فندق الشجرة,IMG-BF94B5AA6DFDB356,assets/images/hotels/hotels-LY-HOTELS-00062-02.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00945,IMG-540E4FF45A3999F7,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000163,LY-HOT-000064,hotels,فندق الشمس,IMG-301D258252D7F3D2,assets/images/hotels/hotels-LY-HOTELS-00064-01.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00281,IMG-B6E928DEACBB4687,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000164,LY-HOT-000064,hotels,فندق الشمس,IMG-C209D88A4ACD3962,assets/images/hotels/hotels-LY-HOTELS-00064-02.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00125,IMG-E21CA291269592E7,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000165,LY-HOT-000064,hotels,فندق الشمس,IMG-39B58BD772BA639A,assets/images/hotels/hotels-LY-HOTELS-00064-03.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00029,IMG-7362E0B0EA9E5EA3,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000166,LY-HOT-000064,hotels,فندق الشمس,IMG-A2653827CCDE7F89,assets/images/hotels/hotels-LY-HOTELS-00064-04.webp,gallery,true,thumbnail_only,cannot_determine,DUP-01115,IMG-9CB3E8A0796C5CBC,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000167,LY-HOT-000065,hotels,فندق الصفوة,IMG-FC2F7E0A509C8E80,assets/images/hotels/hotels-LY-HOTELS-00065-01.webp,gallery,true,thumbnail_only,cannot_determine,DUP-01001,IMG-C5613AE16E174C4C,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000168,LY-HOT-000065,hotels,فندق الصفوة,IMG-32D8CBC162306166,assets/images/hotels/hotels-LY-HOTELS-00065-02.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00589,IMG-86A538F2027FAA05,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000169,LY-HOT-000065,hotels,فندق الصفوة,IMG-C9918EBFCCF721C5,assets/images/hotels/hotels-LY-HOTELS-00065-03.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00422,IMG-B3E99A352F425E21,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000170,LY-HOT-000065,hotels,فندق الصفوة,IMG-4F4222992CCCA652,assets/images/hotels/hotels-LY-HOTELS-00065-04.webp,gallery,true,thumbnail_only,cannot_determine,DUP-01275,IMG-AB32B828CC68C811,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000171,LY-HOT-000066,hotels,فندق الصناعية مصراتة,IMG-07D179D8F1F3B4C8,assets/images/hotels/hotels-LY-HOTELS-00066-01.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00900,IMG-67013592F955DB61,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000172,LY-HOT-000066,hotels,فندق الصناعية مصراتة,IMG-C79E0CB33BEF336D,assets/images/hotels/hotels-LY-HOTELS-00066-02.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00709,IMG-32C6498D1B24D0F9,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
