path,filename,extension,file_size,width,height,sha256,expected_site,publication_status,used_currently,duplicate_group
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-017.jpeg,leptis-official-017.jpeg,.jpeg,78479,1080,811,342eb5deb4b9e970c9d74f0e81d12f472dd459c40056b44002a1826fb2dd422b,leptis,published,yes,DUP-0097
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-018.jpeg,leptis-official-018.jpeg,.jpeg,90214,607,1080,89026cb82167fec95fd02d00aeecb065efb9bcf63a6faa995d30849013ee9e8c,leptis,published,yes,DUP-0098
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-019.jpeg,leptis-official-019.jpeg,.jpeg,90495,1000,563,25fe3997b35164f597b16ef755cf002845fd98dd9b03a3e018c3dc6a5a075fdc,leptis,published,yes,DUP-0099
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-020.jpeg,leptis-official-020.jpeg,.jpeg,105890,607,1080,ce9de34b394856c23fc2d5bc400570e0ef7a8dbe8d6a21c2563b209f36218e07,leptis,published,yes,DUP-0100
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-021.jpeg,leptis-official-021.jpeg,.jpeg,85562,563,1000,18d4e02bb5fb34acf8a338c02d205ce46b9efb851727596a8ced02cb51fd9370,leptis,published,yes,DUP-0101
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-022.jpeg,leptis-official-022.jpeg,.jpeg,92085,607,1080,3d16b05bdbc1b66a07836c4eaea5747eedafde1ecd2f2a6c670b608bf9e33cc7,leptis,published,yes,DUP-0102
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-023.jpeg,leptis-official-023.jpeg,.jpeg,106958,1000,563,1fe0ecff517687d81277858fa2b59fa01e97cca1aec54f873414202d9fb9fb4c,leptis,published,yes,DUP-0103
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-024.jpeg,leptis-official-024.jpeg,.jpeg,104949,563,1000,14d05c672b535953631c8f0b8b99058edbce9713566bd0393135aa2ae485e811,leptis,published,yes,DUP-0104
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-025.jpeg,leptis-official-025.jpeg,.jpeg,105182,563,1000,c9d193f2b583e40f31b0955e08d7edaa7049e4df10289a31e0318ab4cce1234c,leptis,published,yes,DUP-0105
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-026.jpeg,leptis-official-026.jpeg,.jpeg,91669,563,1000,52f0fa01105e904f63ae52322ff95329b280f75016409f7dee55769599beffc7,leptis,published,yes,DUP-0106
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-027.jpeg,leptis-official-027.jpeg,.jpeg,91669,563,1000,52f0fa01105e904f63ae52322ff95329b280f75016409f7dee55769599beffc7,leptis,published,yes,DUP-0106
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-028.jpeg,leptis-official-028.jpeg,.jpeg,97033,563,1000,ec977cc881363b23b308176057bae656cffe7229448d088362fe1c8c768b2d8e,leptis,published,yes,DUP-0107
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-029.jpeg,leptis-official-029.jpeg,.jpeg,91452,563,1000,9be7b92905242aeb8d56edd99bb065e1f47c090bdc0251c05ace806edf841264,leptis,published,yes,DUP-0108
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-030.jpeg,leptis-official-030.jpeg,.jpeg,99453,1000,563,6a770fed97fb7b2c771df245e0ad9ae3b68ed460ee7762ec3e91b6e7d4f1f7a4,leptis,published,yes,DUP-0109
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-031.jpeg,leptis-official-031.jpeg,.jpeg,73312,563,1000,6b42697d83fe65b873a69bdeb194c72db5e19627a8429ab8483efa727dd4da16,leptis,published,yes,DUP-0110
assets/media/LIBYA/heritage/leptis-magna/published/review-required/official-001.jpeg,official-001.jpeg,.jpeg,141198,1080,810,02558e0ec9d8a4c49a75ec8d954fc7022f250d71ff1a439894080d752ac7a249,,review_required,no,DUP-0082
