feature_id,image_id,technical_quality,resolution,aspect_ratio,sharpness_available,brightness_available,file_health,master_status,watermark_detectable_if_metadata_or_visual_review,duplicate_status,notes
LY-HOT-000094,IMG-7AC07FEBBAB341ED,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000095,IMG-92E4F00620C05EFB,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000096,IMG-F9F53CED1C50A8BD,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000097,IMG-0D74F9F296DF86DD,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000098,IMG-C8F2AC0814DA6F5B,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000099,IMG-9F297B4C0B40C957,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000100,IMG-50C88BA946BC9961,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000102,IMG-055271F1382E9D5A,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000103,IMG-5FD7D29019D53E4A,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000105,IMG-9D9788DF5F512236,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
