feature_id,current_layer_id,name_ar,name_en,current_facility_type,proposed_facility_type,classification_basis,confidence,manual_confirmation_required,notes
LY-HOT-000155,hotels,فندق الكاظم,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000157,hotels,فندق المبروك,Almabrook Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000158,hotels,فندق المتوسط الخمس,Almotawaset Hotel,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000159,hotels,فندق المدينة,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000160,hotels,فندق المدينة,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000162,hotels,فندق المدينة,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000163,hotels,فندق المرج السياحي,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000164,hotels,فندق المسيرة,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000166,hotels,فندق المغرب العربي,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000167,hotels,فندق المنار,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000168,hotels,فندق النادي الليبي,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000169,hotels,فندق النخلة السياحي,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000170,hotels,فندق النخيل - مغلق,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000171,hotels,فندق النوران,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000172,hotels,فندق الهاروج,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000176,hotels,فندق الوادي,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000178,hotels,فندق الياقوتة,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000179,hotels,فندق الياقوتة,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000180,hotels,فندق اليقين,Al-Yaqeen Hotel,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000181,hotels,فندق اليمامة,Alyamama Hotel),hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000182,hotels,فندق اوزو,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000183,hotels,فندق ايلاف,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000184,hotels,فندق أبراج المدينة,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000185,hotels,فندق أجنحة قرطاج,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000186,hotels,فندق أفريقيا,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000187,hotels,فندق أفريقيا,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000188,hotels,فندق أكاكوس,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000189,hotels,فندق أكاكوس,,hotel,hotel,runtime layer hotels,high,false,
