source_index,source_folder,raw_name,normalized_name,longitude,latitude,geometry_type,description,exclusion_reason,source_file
76,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
79,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
80,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
81,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
82,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
83,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
84,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
85,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
86,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
87,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
