source_index,source_name,normalized_name,longitude,latitude,geometry_status,description_status,image_url,image_status,style_url,folder,duplicate_name_status,duplicate_coordinate_status,notes
170,Smash Craft Burger سماش كرافت برجر,smashcraftburgerسماشكرافتبرجر,13.1623508,32.8829496,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
171,حلويات زهرة المدائن,حلوياتزهرهالمدائن,13.1627657,32.882746,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
172,مطعم 4 You,مطعم4you,13.1629611,32.8831196,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
173,نوتيلا شارع النصر,نوتيلاشارعالنصر,13.1632367,32.8829119,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
174,مطعم طعميه ضوء,مطعمطعميهضوء,13.1639613,32.8823627,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
175,طعمية فرش - شارع سليمان الباروني,طعميهفرششارعسليمانالباروني,13.1640052,32.8825644,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
176,Green Cafe,greencafe,13.1637164,32.8835068,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
177,شارع الجلاء,شارعالجلاء,13.1637251,32.8835908,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
178,مقهي ابناء عشيبة للسندوتشات,مقهيابناءعشيبهللسندوتشات,13.1636925,32.8836694,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
179,AsROMA Caffee,asromacaffee,13.1615111,32.8836524,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
180,مطعم سديم للمأكولات السريعة,مطعمسديمللماكولاتالسريعه,13.1608034,32.8844976,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
181,مقهي البيادر.مشاوي علي للفحم,مقهيالبيادرمشاويعليللفحم,13.1627382,32.8846792,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
182,Ram Cafe,ramcafe,13.1634274,32.8859681,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
183,كافي شيش خان,كافيشيشخان,13.1638314,32.886516,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
184,essse cafè,esssecafè,13.1648082,32.8861202,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
185,libya costa cafe,libyacostacafe,13.1641633,32.8860825,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
186,عصائر هاواي,عصائرهاواي,13.1657543,32.8866031,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
187,Olympic Coffee - أولمبيك كافي,olympiccoffeeاولمبيككافي,13.1659249,32.8875336,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
188,بيتزا 99,بيتزا99,13.1667605,32.8868681,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
