id,name_ar,name_en,facility_type_code,municipality_ar,longitude,latitude,match_status,data_quality_status,data_completeness_percent,source_image_status
LY-ACC-RES-SHA-00007,منتجع الاسرة السعيدة,العنوان/المدينة:,tourist_resort,شحات,21.873265,32.816855,exact_match,medium,50,temporary_google_url
LY-ACC-RES-SHA-00008,شاليهات بومؤمن,العنوان/المدينة:,tourist_resort,شحات,21.84664,32.858583,exact_match,medium,50,no_image
LY-ACC-RES-SHA-00009,منتجع سيف للسياحه ولاستثمار,العنوان/المدينة:,tourist_resort,شحات,21.903627,32.796428,exact_match,medium,50,temporary_google_url
LY-ACC-RES-TOB-00001,منتجع وفندق ريفان السياحي,العنوان/المدينة:,accommodation_resort_other,طبرق,23.959161,32.037293,exact_match,medium,50,temporary_google_url
LY-ACC-RES-ZUW-00012,قرية سبتيموس السياحية - زوارة,قرية سبتموس السياحية زوارة Septimus city resort,tourist_village,زوارة,12.008905,32.984675,exact_match,medium,64,temporary_google_url
LY-ACC-RES-ZUW-00013,قرية سيمو السياحية - زوارة,قرية سيمو السياحية/Simo Beach Village,accommodation_resort_other,زوارة,12.003852,32.986361,exact_match,medium,64,temporary_google_url
LY-ACC-RES-ZLI-00003,منتجع الهادريان زليتن,العنوان/المدينة:,accommodation_resort_other,زليتن,14.51572,32.502517,exact_match,medium,50,no_image
LY-ACC-RES-NAT-00041,منتجع سفارى السياحى,العنوان/المدينة:,accommodation_resort_other,,15.042599,32.351284,exact_match,low,43,no_image
LY-ACC-RES-ZUW-00014,قرية اوديسا السياحية,Odessa tourist village قرية أوديسا السياحية (Odessa resort),tourist_village,زوارة,11.97922,32.998387,exact_match,medium,64,temporary_google_url
LY-ACC-RES-ZUW-00015,Azul house استراحة ازول,Azul house استراحة ازول,tourist_village,زوارة,12.01918,32.980421,exact_match,medium,64,temporary_google_url
LY-ACC-RES-ZUW-00016,DiVano Resort,DiVano Resort,tourist_resort,زوارة,12.068433,32.945782,exact_match,medium,64,temporary_google_url
LY-ACC-RES-ZUW-00017,منتجع لاجون Lagoon Resort,Lagoon Resort منتجع لاجون,tourist_resort,زوارة,11.984427,32.997957,exact_match,medium,64,temporary_google_url
LY-ACC-RES-ZUW-00018,Barracuda Village - منتجع باراكودا,Barracuda Village,accommodation_resort_other,زوارة,12.024303,32.97578,exact_match,medium,64,no_image
LY-ACC-RES-NAT-00042,Oea Village - Diar Al Bahr,Oea Village - Diar Al Bahr,tourist_village,,13.016186,32.839058,exact_match,medium,57,no_image
LY-ACC-RES-NAT-00043,قرية قوس غنيمة السياحية,العنوان/المدينة:,accommodation_resort_other,,14.056947,32.714701,exact_match,low,43,no_image
LY-ACC-RES-NAT-00044,La Vida Resort & Beach Club,,tourist_resort,,11.9152032,33.0302204,new_feature,low,21,no_image
LY-ACC-RES-NAT-00045,استراحة اونان,,review_required,,11.9341875,33.0149375,new_feature,low,14,no_image
LY-ACC-RES-NAT-00046,Resort Zuwara,,tourist_resort,,11.9616242,33.0121153,new_feature,low,21,no_image
LY-ACC-RES-NAT-00047,Beach House,,review_required,,11.9945951,32.9924201,new_feature,low,14,no_image
LY-ACC-RES-ZUW-00019,استراحة سيليا زوارة,,review_required,زوارة,11.9917974,32.992055,new_feature,low,21,no_image
LY-ACC-RES-NAT-00048,استراحة نبض الحياة,,review_required,,11.9935673,32.9909749,new_feature,low,14,no_image
LY-ACC-RES-NAT-00049,Villa Helena,,review_required,,11.997503,32.9881858,new_feature,low,14,no_image
LY-ACC-RES-NAT-00050,Crystal House إستراحة كريستال,,review_required,,12.0019139,32.9874471,new_feature,low,14,no_image
