id,name_ar,name_en,geometry_type,investment_type_code,project_status_code,municipality_ar,centroid_longitude,centroid_latitude,investment_readiness_level,preliminary_priority_level,data_quality_status,data_review_status,match_status
LY-INV-RES-NAT-00030,منتجع التلال الحمامة,,Point,resort_project,unknown,,21.615861,32.911311,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00031,منتجع الجراري السياحي - للعائلات,,Point,resort_project,unknown,,21.604209,32.905579,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00032,منتجع ومصيف الحمامة,,Point,resort_project,unknown,,21.621093,32.916555,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00033,قرية إيلاف السياحية,,Point,resort_project,unknown,,20.9638155,32.7194631,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-BAY-00001,شاليهات الحدائق الملكية,,Point,resort_project,unknown,البيضاء,21.5950836,32.8752309,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-BAY-00002,منتجع وادي الكوف,,Point,resort_project,unknown,البيضاء,21.563798,32.702,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00034,منتجع إيلاند السياحي,,Point,resort_project,unknown,,21.940156,32.895682,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00035,منتجع كنزي السياحي,,Point,resort_project,unknown,,21.9725655,32.9008844,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00036,منتجع سوسه,,Point,resort_project,unknown,,22.0249434,32.9025146,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00037,مصيف القريه/رأس الهلال,,Point,resort_project,unknown,,22.1691686,32.9017744,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00038,منتجع الينابيع السياحي,,Point,resort_project,unknown,,22.190223,32.881896,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00039,منتجع الاثرون السياحي,,Point,resort_project,unknown,,22.279024,32.869423,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-DER-00001,منتجع إيميليا السياحي,,Point,resort_project,unknown,درنة,22.5622359,32.7982606,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-DER-00002,مصيف 1805,,Point,resort_project,unknown,درنة,22.56117,32.790435,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00040,منتجع الابرق السياحي,,Point,resort_project,unknown,,21.954304,32.825786,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-SHA-00001,منتج شحات السياحي,,Point,resort_project,unknown,شحات,21.879472,32.824524,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-SHA-00002,منتجع وموتيل الأمان 1,,Point,resort_project,unknown,شحات,21.894591,32.801446,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-SHA-00003,منتجع وموتيل الأمان 3,,Point,resort_project,unknown,شحات,21.9234664,32.8263417,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-SHA-00004,شاليهات بوعطية,,Point,resort_project,unknown,شحات,21.897302,32.842844,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-SHA-00005,منتجع جود السياحي,,Point,resort_project,unknown,شحات,21.88843,32.840597,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-KHO-00018,إستراحات فردية درجة أولى,,Point,resort_project,unknown,الخمس,21.867999,32.847121,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-SHA-00006,إستراحات فردية,,Point,resort_project,unknown,شحات,21.8672957,32.8470731,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-SHA-00007,منتجع الاسرة السعيدة,,Point,resort_project,unknown,شحات,21.873265,32.816855,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-SHA-00008,شاليهات بومؤمن,,Point,resort_project,unknown,شحات,21.84664,32.858583,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-SHA-00009,منتجع سيف للسياحه ولاستثمار,,Point,resort_project,unknown,شحات,21.903627,32.796428,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-TOB-00001,منتجع وفندق ريفان السياحي,,Point,hotel_project,unknown,طبرق,23.959161,32.0372928,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-ZUW-00012,قرية سبتيموس السياحية - زوارة,,Point,resort_project,unknown,زوارة,12.0089054,32.9846754,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-ZUW-00001,قرية سيمو السياحية - زوارة,,Point,hotel_project,unknown,زوارة,12.0038519,32.9863612,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-ZLI-00003,منتجع الهادريان زليتن,,Point,resort_project,unknown,زليتن,14.5157198,32.5025172,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00041,منتجع سفارى السياحى,,Point,resort_project,unknown,,15.042599,32.3512844,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-ZUW-00013,قرية اوديسا السياحية,,Point,resort_project,unknown,زوارة,11.9792196,32.998387,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-ZUW-00014,Azul house استراحة ازول,,Point,resort_project,unknown,زوارة,12.0191798,32.9804213,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-ZUW-00015,DiVano Resort,,Point,resort_project,unknown,زوارة,12.0684328,32.9457822,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-ZUW-00016,منتجع لاجون Lagoon Resort,,Point,resort_project,unknown,زوارة,11.9844267,32.9979566,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-ZUW-00017,Barracuda Village - منتجع باراكودا,,Point,resort_project,unknown,زوارة,12.0243031,32.9757798,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00042,Oea Village - Diar Al Bahr,,Point,resort_project,unknown,,13.016186,32.839058,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-NAT-00043,قرية قوس غنيمة السياحية,,Point,resort_project,unknown,,14.0569472,32.7147012,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-TRI-00002,فندق كورنثيا,,Point,hotel_project,unknown,طرابلس,13.170402,32.89692,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-BAY-00001,فندق بينثابوليس,,Point,hotel_project,unknown,البيضاء,21.7604108,32.76474,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-GHA-00001,فندق جوهرة الواحة,,Point,hotel_project,unknown,غدامس,9.5073291,30.1319382,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-TRI-00003,فندق تبرس,,Point,hotel_project,unknown,طرابلس,11.327179,31.777558,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-SHA-00010,منتجع شحات السياحي,,Point,resort_project,unknown,شحات,21.87935,32.82451,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-NAT-00001,فندق المنارة,,Point,hotel_project,unknown,,21.964767,32.900626,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-BAY-00002,فندق لؤلؤة الخليج,,Point,hotel_project,unknown,البيضاء,21.77744,32.76469,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-BAY-00003,فندق التلال الوسيطة البيضاء,,Point,hotel_project,unknown,البيضاء,21.733303,32.793224,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-NAT-00002,العنود للشقق الفندقية,,Point,hotel_project,unknown,,21.7417,32.7664,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-NAT-00003,فندق الثريا,,Point,hotel_project,unknown,,21.75694,32.764375,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-EXP-SHA-00001,منتجع الينابيع السياحي,,Point,existing_project_expansion,expansion,شحات,22.19025,32.8815,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-NAT-00004,فندق برقة,,Point,hotel_project,unknown,,21.756955,32.765259,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-NAT-00005,فندق الهديل,,Point,hotel_project,unknown,,21.754296,32.763233,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-GHA-00002,فندق بن يدر,,Point,hotel_project,unknown,غدامس,9.49361,30.13057,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-GHA-00003,فندق نجوم غدامس,,Point,hotel_project,unknown,غدامس,9.492807,30.130444,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-REV-GHA-00001,Hotel bab al fatah,,Point,review_required,unknown,غدامس,9.495953,30.129669,insufficient_data,insufficient_data,low,review_required,exact_match
LY-INV-HOT-TRI-00004,فندق فكتوريا,,Point,hotel_project,unknown,طرابلس,13.1943866,32.8913655,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-TRI-00005,فندق الطاووس,,Point,hotel_project,unknown,طرابلس,13.3175408,32.8737835,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-TRI-00006,فندق المهاري,,Point,hotel_project,unknown,طرابلس,13.1997894,32.8960393,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-TRI-00007,فندق الودان,,Point,hotel_project,unknown,طرابلس,13.1909208,32.893187,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-TRI-00008,فندق بلازما,,Point,hotel_project,unknown,طرابلس,13.163972,32.885667,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-TOB-00002,فندق دار السلام,,Point,hotel_project,unknown,طبرق,23.968133,32.073038,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-TOB-00003,فندق سان جورج,,Point,hotel_project,unknown,طبرق,23.9734318,32.0798526,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-KHO-00002,فندق الحسنين الكبير,,Point,hotel_project,unknown,الخمس,14.251271,32.643382,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-REV-SHA-00001,بيوت الشباب,,Point,review_required,unknown,شحات,21.863206,32.812983,insufficient_data,insufficient_data,low,review_required,exact_match
LY-INV-HOT-BAY-00004,فندق بلاغراي السياحي ( التلال سابقا ),,Point,hotel_project,unknown,البيضاء,21.7177134,32.7617367,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-DER-00003,منتجع ايميليا,,Point,resort_project,unknown,درنة,22.562225,32.798444,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-RES-SHA-00011,منتجع وموتيل الأمان,,Point,resort_project,unknown,شحات,21.894339,32.801784,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-REV-GHA-00002,بيوت شباب غدامس,,Point,review_required,unknown,غدامس,9.4980544,30.1205014,insufficient_data,insufficient_data,low,review_required,exact_match
LY-INV-HOT-GHA-00004,نالوت غدامس فندق باب العز,,Point,hotel_project,unknown,غدامس,10.9706174,31.8876627,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-NAT-00006,فندق أبراج الوسطى,,Point,hotel_project,unknown,,16.5549527,31.204718,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-SEB-00001,فندق طيبة,,Point,hotel_project,unknown,سبها,14.421323,27.053601,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-TRI-00009,فندق قصر الفيروز,,Point,hotel_project,unknown,طرابلس,13.192323,32.849774,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-NAT-00007,فندق ابونواس,,Point,hotel_project,unknown,,13.0914425,32.86352,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-NAT-00008,فندق احواص,,Point,hotel_project,unknown,,13.1790752,32.8954197,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-NAT-00009,فندق الانوار,,Point,hotel_project,unknown,,12.7337333,32.748233,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-TRI-00010,فندق الأخوة,,Point,hotel_project,unknown,طرابلس,13.1740605,32.8916446,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-TRI-00011,فندق الأصالة,,Point,hotel_project,unknown,طرابلس,13.1788459,32.8918811,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-NAT-00010,فندق الأصيل,,Point,hotel_project,unknown,,13.1860743,32.8819303,insufficient_data,insufficient_data,low,integrated,exact_match
LY-INV-HOT-NAT-00011,فندق الأندلس,,Point,hotel_project,unknown,,13.1726487,32.8920769,insufficient_data,insufficient_data,low,integrated,exact_match
